No,ID,Last name,First name,Gender,DOB,Social ID
1,21127004,Huynh,Bao,M,06/01/2002,792011232
2,21127028,Vo,Hoang,M,07/01/2002,792011232
3,21127030,Nguyen,Hung,M,08/01/2002,792011232
4,21127037,Le,Huy,M,09/01/2002,792011232
5,21127040,Truong,Huy,M,10/01/2002,792011232
6,21127045,Vo,Khoi,M,11/01/2002,792011232
7,21127048,Luu,Minh,M,12/01/2002,792011232
8,21127049,Nguyen,Minh,M,13/01/2002,792011232
9,21127054,Ngo,Nguyen,M,14/01/2002,792011232
10,21127060,Nguyen,Nien,M,15/01/2002,792011232
11,21127062,Nguyen,Phu,M,16/01/2002,792011232
12,21127068,Ho,Tai,M,17/01/2002,792011232
13,21127092,Nguyen,Tuan,M,18/01/2002,792011232
14,21127094,Nguyen,Van,M,19/01/2002,792011232
15,21127124,Dang,Chau,M,20/01/2002,792011232
16,21127176,Do,Hung,M,21/01/2002,792011232
17,21127197,Hoang,Lien,M,01/01/2002,792011232
18,21127201,Truong,Khang,M,22/01/2002,792011232
19,21127247,Phan,Nam,M,23/01/2002,792011232
20,21127261,Nguyen,Nguyen,M,24/01/2002,792011232
21,21127262,Nguyen,Nguyen,M,25/01/2002,792011232
22,21127273,Huynh,Thanh,M,02/01/2002,792011232
23,21127293,Qui,Quan,M,26/01/2002,792011232
24,21127417,Tran,Hung,M,03/01/2002,792011232
25,21127579,Vu,Tien,M,04/01/2002,792011232
26,21127584,Mach,Toan,M,05/01/2002,792011232
