No,ID,Last name,First name,Gender,DOB,Social ID
1,21125032,Hoang,The Anh,M,01/01/2003,79303015001
2,21125035,Phan,Trung Duc,M,02/01/2003,79303015002
3,21125039,Dinh,Quang Hieu,M,03/01/2003,79303015003
4,21125041,Dang Hoang,Nhat Hung,M,04/01/2003,79303015004
5,21125044,Nguyen,Minh Kha,M,05/01/2003,79303015005
6,21125045,Hua,Truong Kha,M,06/01/2003,79303015006
7,21125052,Pham Vo,Quynh Nhu,F,24/12/2003,79303015007
8,21125053,Thi,Hong Nhut,M,08/01/2003,79303015008
9,21125056,Vo,Thanh Phuc,M,09/01/2003,79303015009
10,21125057,Ngo,Thai Phung,F,04/12/2003,79303015010
11,21125063,Pham Van,Tan Sang,M,25/04/2003,79303015011
12,21125064,Pham,Gia Thinh,F,13/07/2003,79303015012
13,21125065,Nguyen Dinh,Ngoc Tri,M,19/02/2003,79303015013
14,21125066,Tran Thi,My Tuyen,F,16/07/2003,79303015014
15,21125067,Nguyen,Minh Vi,M,21/02/2003,79303015015
16,21125070,Tran,Minh Khanh,M,12/06/2003,79303015016
17,21125071,Ho Viet,Bao Long,M,05/08/2003,79303015017
18,21125074,Trinh,Tran Tran,F,09/06/2003,79303015018
19,21125075,Ngo,Ha Dinh,M,24/06/2003,79303015019
20,21125079,Nguyen,Ngoc Long,M,16/09/2003,79303015020
21,21125080,Quan,Phu Long,M,15/04/2003,79303015021
22,21125081,Nguyen,Si Minh,M,13/06/2003,79303015022
23,21125089,Luu,Van Phuc,M,04/10/2003,79303015023
