No,ID,Last name,First name,Gender,DOB,Social ID
1,21125006,HO,DUY,M,18/02/2003,792011232
2,21125007,PHAM,GIANG,M,18/02/2003,792011232
3,21125011,NGUYEN,HUY,M,18/02/2003,792011232
4,21125013,VO,KHANG,M,18/02/2003,792011232
5,21125016,LE,KHOI,M,18/02/2003,792011232
6,21125017,NGUYEN,LY,F,18/02/2003,792011232
7,21125018,NGUYEN,MINH,M,18/02/2003,792011232
8,21125019,TU,MINH,M,18/02/2003,792011232
9,21125020,DANG,NGHIA,M,18/02/2003,792011232
10,21125027,HOANG,VIET,M,18/02/2003,792011232
11,21125028,LE,VIET,M,18/02/2003,792011232
12,21125029,TRAN,VIET,M,18/02/2003,792011232
13,21125030,HOANG,VINH,M,18/02/2003,792011232
14,21125031,NGUYEN,VINH,M,18/02/2003,792011232
15,21125034,NGUYEN,BINH,F,18/02/2003,792011232
16,21125042,NGUYEN,HUNG,M,18/02/2003,792011232
17,21125046,NGUYEN,KHANH,M,18/02/2003,792011232
18,21125054,TRAN,PHAT,M,18/02/2003,792011232
19,21125055,HUYNH,PHUC,M,18/02/2003,792011232
20,21125060,NGUYEN,QUANG,M,18/02/2003,792011232
21,21125076,HOANG,DUC,M,18/02/2003,792011232
22,21125082,NGUYEN,NAM,M,18/02/2003,792011232
23,21125087,VUONG,PHUC,M,18/02/2003,792011232
