No,ID,Last name,First name,Gender,DOB,Social ID
1,20125004,Hoang,Hiep,M,5/1/2002,792011232
2,20125005,Le,Hiep,M,6/1/2002,792011232
3,20125006,Nguyen,Khang,M,7/1/2002,792011232
4,20125007,Nguyen,Khoa,M,8/1/2002,792011232
5,20125009,Ta,Khoi,M,9/1/2002,792011232
6,20125010,Tran,Loi,M,10/1/2002,792011232
7,20125011,Nguyen,Long,M,11/1/2002,792011232
8,20125012,Nguyen,Manh,M,12/1/2002,792011232
9,20125014,Thai,Nhat,M,13/01/2002,792011232
10,20125015,Nguyen,Phu,M,14/01/2002,792011232
11,20125017,Nguyen,Tan,M,15/01/2002,792011232
12,20125019,To,An,M,16/01/2002,792011232
13,20125021,Luong,Chau,M,17/01/2002,792011232
14,20125023,Vu,Dat,M,18/01/2002,792011232
15,20125025,Duong,Dung,M,19/01/2002,792011232
16,20125027,Phan,Duy,M,20/01/2002,792011232
17,20125029,Tu,Hoai,M,21/01/2002,792011232
18,20125031,Pham,Hoang,M,22/01/2002,792011232
19,20125032,Truong,Hoang,M,23/01/2002,792011232
20,20125033,Le,Huan,M,24/01/2002,792011232
21,20125034,Vo,Hung,M,25/01/2002,792011232
22,20125038,Le,Minh,M,26/01/2002,792011232
23,20125039,Tran,Nam,M,27/01/2002,792011232
