No,ID,Last name,First name,Gender,DOB,Social ID
1,21127297,Nguyen,Quang,M,27/01/2002,792011232
2,21127304,Tran,Quoc,M,28/01/2002,792011232
3,21127306,Nguyen,Quynh,M,29/01/2002,792011232
4,21127315,Nguyen,Tai,M,30/01/2002,792011232
5,21127333,Nguyen,Thinh,M,31/01/2002,792011232
6,21127367,Nguyen,Trinh,M,01/02/2002,792011232
7,21127380,Duong,Tung,M,02/02/2002,792011232
8,21127385,Huynh,Uy,M,03/02/2002,792011232
9,21127406,Thai,Phong,M,04/02/2002,792011232
10,21127411,Do,Thanh,M,05/02/2002,792011232
11,21127419,Nguyen,Viet,M,06/02/2002,792011232
12,21127473,Vu,Dung,M,07/02/2002,792011232
13,21127495,Thai,Hien,M,08/02/2002,792011232
14,21127515,Nguyen,Huy,M,09/02/2002,792011232
15,21127519,Nguyen,Huy,M,10/02/2002,792011232
16,21127527,Pham,Khang,M,11/02/2002,792011232
17,21127547,Phan,Lap,M,12/02/2002,792011232
18,21127548,Dong,Linh,M,13/02/2002,792011232
19,21127560,Pham,Luong,M,14/02/2002,792011232
20,21127582,Le,Nhat,M,15/02/2002,792011232
21,21127593,Lai,Phu,M,16/02/2002,792011232
22,21127594,Nguyen,Phu,M,17/02/2002,792011232
23,21127600,Luu,Quan,M,18/02/2002,792011232
24,21127654,Nguyen,Trung,M,19/02/2002,792011232
25,21127672,Vu,Quan,M,20/02/2002,792011232
26,21127677,Ha,Lam,M,21/02/2002,792011232
