No,ID,Last name,First name,Gender,DOB,Social ID
1,19125096,Phan,Khang,M,29/01/2002,792011232
2,19125097,Le,Khanh,M,30/01/2002,792011232
3,19125098,Pham,Khoi,M,31/01/2002,792011232
4,19125099,Hoang,Khue,M,01/02/2002,792011232
5,19125100,Ha,Loc,M,02/02/2002,792011232
6,19125104,Mach,Phat,M,03/02/2002,792011232
7,19125105,Pham,Phat,M,04/02/2002,792011232
8,19125107,Ho,Quan,M,05/02/2002,792011232
9,19125108,Dao,Quang,M,06/02/2002,792011232
10,19125109,Truong,Quoc,M,07/02/2002,792011232
11,19125110,Le,Quynh,M,08/02/2002,792011232
12,19125112,Nguyen,Son,M,09/02/2002,792011232
13,19125113,Nguyen,Tan,M,10/02/2002,792011232
14,19125114,Nguyen,Thach,M,11/02/2002,792011232
15,19125115,Pham,Thieu,M,12/02/2002,792011232
16,19125116,Luu,Thuan,M,13/02/2002,792011232
17,19125119,Nguyen,Tri,M,14/02/2002,792011232
18,19125121,Pham,Tu,M,15/02/2002,792011232
19,19125122,Ngo,Tuan,M,16/02/2002,792011232
20,19125123,Hoang,Tung,M,17/02/2002,792011232
21,19125125,Truong,Vy,M,18/02/2002,792011232
22,19125128,Nguyen,Khoa,M,19/02/2002,792011232
23,19125130,Nguyen,Vinh,M,20/02/2002,792011232
24,19125102,Nguyen,Ngoc,M,21/02/2002,792011232
25,19125444,Le,Phat,M,23/12/2002,123456789
